,V1,V2
1816,708,708
1817,708,618
1818,708,479
1819,708,656
1820,708,376
1821,709,709
1822,709,138
1823,709,246
1824,709,191
1825,709,162
1826,710,710
1827,710,355
1828,711,711
1829,711,638
1830,712,712
1831,713,713
1832,713,745
1833,713,550
1834,714,714
1835,714,318
1836,714,47
1837,715,715
1838,715,47
1839,715,673
1840,716,716
1841,716,689
1842,716,189
1843,717,717
1844,717,1094
1845,717,1060
1846,717,1107
1847,718,718
1848,719,719
1849,719,314
1850,719,621
1851,719,88
1852,720,720
1853,720,107
1854,721,721
1855,722,722
1856,722,261
1857,723,723
1858,724,724
1859,724,77
1860,724,495
1861,724,1113
1862,725,725
1863,725,287
1864,725,143
1865,726,726
1866,726,219
1867,726,535
1868,726,685
1869,727,727
1870,727,743
1871,728,728
1872,728,430
1873,729,729
1874,729,245
1875,730,730
1876,730,604
1877,730,191
1878,730,412
1879,730,138
1880,731,731
1881,732,732
1882,732,1533
1883,732,241
1884,732,530
1885,733,733
1886,733,341
1887,734,734
1888,735,735
1889,735,768
1890,735,525
1891,735,770
1892,735,487
1893,736,736
1894,736,11
1895,737,737
1896,737,733
1897,737,1329
1898,738,738
1899,739,739
1900,739,100
1901,739,370
1902,740,740
1903,740,218
1904,741,741
1905,742,742
1906,743,743
1907,743,727
1908,743,357
1909,743,431
1910,744,744
1911,745,745
1912,745,713
1913,746,746
1914,747,747
1915,747,448
1916,748,748
1917,749,749
1918,750,750
1919,750,749
1920,751,751
1921,751,135
1922,751,380
1923,751,69
1924,751,366
1925,752,752
1926,752,643
1927,752,96
1928,753,753
1929,753,365
1930,754,754
1931,754,1059
1932,755,755
1933,755,369
1934,755,611
1935,755,167
1936,756,756
1937,756,539
1938,757,757
1939,757,1443
1940,757,1330
1941,758,758
1942,759,759
1943,759,1646
1944,759,342
1945,760,760
1946,760,217
1947,761,761
1948,762,762
1949,762,109
1950,763,763
1951,763,502
1952,763,157
1953,763,783
1954,763,404
1955,764,764
1956,764,520
1957,764,416
1958,764,121
1959,764,776
1960,765,765
1961,765,431
1962,765,288
1963,765,535
1964,766,766
1965,766,581
1966,766,148
1967,767,767
1968,768,768
1969,768,735
1970,768,487
1971,768,801
1972,769,769
1973,770,770
1974,770,339
1975,770,199
1976,770,735
1977,771,771
1978,771,785
1979,772,772
1980,773,773
1981,773,25
1982,773,398
1983,774,774
1984,774,1053
1985,774,1777
1986,775,775
1987,775,1400
1988,775,1451
1989,776,776
1990,776,388
1991,776,764
1992,777,777
1993,778,778
1994,778,369
1995,779,779
1996,780,780
1997,780,944
1998,781,781
1999,781,289
2000,782,782
2001,783,783
2002,783,263
2003,783,763
2004,783,404
2005,784,784
2006,784,1415
2007,784,27
2008,784,132
2009,785,785
2010,785,771
2011,786,786
2012,787,787
2013,787,704
2014,788,788
2015,788,266
2016,788,436
2017,788,689
2018,789,789
2019,789,542
2020,790,790
2021,791,791
2022,792,792
2023,793,793
2024,794,794
2025,795,795
2026,795,549
2027,796,796
2028,796,523
2029,797,797
2030,797,120
2031,798,798
2032,798,93
2033,798,151
2034,799,799
2035,800,800
2036,800,246
2037,801,801
2038,801,251
2039,801,768
2040,802,802
2041,803,803
2042,803,407
2043,804,804
2044,804,368
2045,804,385
2046,805,805
2047,805,0
2048,805,806
2049,805,824
2050,805,1186
2051,806,806
2052,806,821
2053,806,805
2054,807,807
2055,807,1485
2056,807,1134
2057,807,1456
2058,807,1457
2059,808,808
2060,808,296
2061,808,583
2062,808,26
2063,809,809
2064,810,810
2065,810,1250
2066,810,1233
2067,810,996
2068,811,811
2069,811,1219
2070,811,815
2071,811,1511
2072,811,1278
2073,812,812
2074,812,1576
2075,812,833
2076,813,813
2077,813,1177
2078,814,814
2079,814,1587
2080,814,1502
2081,814,891
2082,815,815
2083,815,1174
2084,815,811
2085,815,1126
2086,816,816
2087,816,830
2088,817,817
2089,817,930
2090,817,1611
2091,817,1564
2092,817,1525
2093,818,818
2094,818,1471
2095,818,1197
2096,818,1141
2097,819,819
2098,819,881
2099,820,820
2100,820,1127
2101,820,1209
2102,821,821
2103,821,1181
2104,821,881
2105,822,822
2106,822,1159
2107,822,1460
2108,822,1585
2109,822,1456
